date,year,month,district,service_type,booking_count
2024-04-01,2024,4,Mumbai,Plumber,151
2024-04-01,2024,4,Mumbai,Carpenter,128
2024-04-01,2024,4,Mumbai,Caregiver,192
2024-04-01,2024,4,Mumbai,Painter,108
2024-04-01,2024,4,Jaipur,Electrician,207
2024-04-01,2024,4,Jaipur,Plumber,101
2024-04-01,2024,4,Jaipur,Carpenter,80
2024-04-01,2024,4,Jaipur,Caregiver,123
2024-04-01,2024,4,Jaipur,Painter,61
2024-05-01,2024,5,Pune,Electrician,260
2024-05-01,2024,5,Pune,Plumber,114
2024-05-01,2024,5,Pune,Carpenter,95
2024-05-01,2024,5,Pune,Caregiver,164
2024-05-01,2024,5,Pune,Painter,85
2024-05-01,2024,5,Bengaluru,Electrician,265
2024-05-01,2024,5,Bengaluru,Plumber,137
2024-05-01,2024,5,Bengaluru,Carpenter,118
2024-05-01,2024,5,Bengaluru,Caregiver,179
2024-05-01,2024,5,Bengaluru,Painter,91
2024-05-01,2024,5,Delhi,Electrician,311
2024-05-01,2024,5,Delhi,Plumber,161
2024-05-01,2024,5,Delhi,Carpenter,126
2024-05-01,2024,5,Delhi,Caregiver,189
2024-05-01,2024,5,Delhi,Painter,95
2024-05-01,2024,5,Mumbai,Electrician,339
2024-05-01,2024,5,Mumbai,Plumber,170
2024-05-01,2024,5,Mumbai,Carpenter,134
2024-05-01,2024,5,Mumbai,Caregiver,196
2024-05-01,2024,5,Mumbai,Painter,106
2024-05-01,2024,5,Jaipur,Electrician,200
2024-05-01,2024,5,Jaipur,Plumber,102
2024-05-01,2024,5,Jaipur,Carpenter,85
2024-05-01,2024,5,Jaipur,Caregiver,131
2024-05-01,2024,5,Jaipur,Painter,60
2024-06-01,2024,6,Pune,Electrician,229
2024-06-01,2024,6,Pune,Plumber,267
2024-06-01,2024,6,Pune,Carpenter,103
2024-06-01,2024,6,Pune,Caregiver,195
2024-06-01,2024,6,Pune,Painter,38
2024-06-01,2024,6,Bengaluru,Electrician,297
2024-06-01,2024,6,Bengaluru,Plumber,307
2024-06-01,2024,6,Bengaluru,Carpenter,119
2024-06-01,2024,6,Bengaluru,Caregiver,222
2024-06-01,2024,6,Bengaluru,Painter,47
2024-06-01,2024,6,Delhi,Electrician,276
2024-06-01,2024,6,Delhi,Plumber,335
2024-06-01,2024,6,Delhi,Carpenter,129
2024-06-01,2024,6,Delhi,Caregiver,246
2024-06-01,2024,6,Delhi,Painter,48
2024-06-01,2024,6,Mumbai,Electrician,333
2024-06-01,2024,6,Mumbai,Plumber,334
2024-06-01,2024,6,Mumbai,Carpenter,138
2024-06-01,2024,6,Mumbai,Caregiver,265
2024-06-01,2024,6,Mumbai,Painter,53
2024-06-01,2024,6,Jaipur,Electrician,182
2024-06-01,2024,6,Jaipur,Plumber,198
2024-06-01,2024,6,Jaipur,Carpenter,83
2024-06-01,2024,6,Jaipur,Caregiver,163
2024-06-01,2024,6,Jaipur,Painter,33
2024-07-01,2024,7,Pune,Electrician,158
2024-07-01,2024,7,Pune,Plumber,252
2024-07-01,2024,7,Pune,Carpenter,102
2024-07-01,2024,7,Pune,Caregiver,175
2024-07-01,2024,7,Pune,Painter,40
2024-07-01,2024,7,Bengaluru,Electrician,163
2024-07-01,2024,7,Bengaluru,Plumber,282
2024-07-01,2024,7,Bengaluru,Carpenter,122
2024-07-01,2024,7,Bengaluru,Caregiver,212
2024-07-01,2024,7,Bengaluru,Painter,49
2024-07-01,2024,7,Delhi,Electrician,172
2024-07-01,2024,7,Delhi,Plumber,327
2024-07-01,2024,7,Delhi,Carpenter,124
2024-07-01,2024,7,Delhi,Caregiver,241
2024-07-01,2024,7,Delhi,Painter,52
2024-07-01,2024,7,Mumbai,Electrician,190
2024-07-01,2024,7,Mumbai,Plumber,335
2024-07-01,2024,7,Mumbai,Carpenter,136
2024-07-01,2024,7,Mumbai,Caregiver,267
2024-07-01,2024,7,Mumbai,Painter,54
2024-07-01,2024,7,Jaipur,Electrician,118
2024-07-01,2024,7,Jaipur,Plumber,222
2024-07-01,2024,7,Jaipur,Carpenter,76
2024-07-01,2024,7,Jaipur,Caregiver,146
2024-07-01,2024,7,Jaipur,Painter,33
2024-08-01,2024,8,Pune,Electrician,140
2024-08-01,2024,8,Pune,Plumber,270
2024-08-01,2024,8,Pune,Carpenter,202
2024-08-01,2024,8,Pune,Caregiver,164
2024-08-01,2024,8,Pune,Painter,41
2024-08-01,2024,8,Bengaluru,Electrician,161
2024-08-01,2024,8,Bengaluru,Plumber,303
2024-08-01,2024,8,Bengaluru,Carpenter,182
2024-08-01,2024,8,Bengaluru,Caregiver,183
2024-08-01,2024,8,Bengaluru,Painter,43
2024-08-01,2024,8,Delhi,Electrician,180
2024-08-01,2024,8,Delhi,Plumber,315
2024-08-01,2024,8,Delhi,Carpenter,213
2024-08-01,2024,8,Delhi,Caregiver,190
2024-08-01,2024,8,Delhi,Painter,52
2024-08-01,2024,8,Mumbai,Electrician,182
2024-08-01,2024,8,Mumbai,Plumber,327
2024-08-01,2024,8,Mumbai,Carpenter,249
2024-08-01,2024,8,Mumbai,Caregiver,222
2024-08-01,2024,8,Mumbai,Painter,54
2024-08-01,2024,8,Jaipur,Electrician,116
2024-08-01,2024,8,Jaipur,Plumber,194
2024-08-01,2024,8,Jaipur,Carpenter,140
2024-08-01,2024,8,Jaipur,Caregiver,125
2024-08-01,2024,8,Jaipur,Painter,34
2024-09-01,2024,9,Pune,Electrician,130
2024-09-01,2024,9,Pune,Plumber,237
2024-09-01,2024,9,Pune,Carpenter,175
2024-09-01,2024,9,Pune,Caregiver,160
2024-09-01,2024,9,Pune,Painter,200
2024-09-01,2024,9,Bengaluru,Electrician,172
2024-09-01,2024,9,Bengaluru,Plumber,283
2024-09-01,2024,9,Bengaluru,Carpenter,187
2024-09-01,2024,9,Bengaluru,Caregiver,173
2024-09-01,2024,9,Bengaluru,Painter,230
2024-09-01,2024,9,Delhi,Electrician,148
2024-09-01,2024,9,Delhi,Plumber,291
2024-09-01,2024,9,Delhi,Carpenter,225
2024-09-01,2024,9,Delhi,Caregiver,185
2024-09-01,2024,9,Delhi,Painter,241
2024-09-01,2024,9,Mumbai,Electrician,175
2024-09-01,2024,9,Mumbai,Plumber,349
2024-09-01,2024,9,Mumbai,Carpenter,227
2024-09-01,2024,9,Mumbai,Caregiver,201
2024-09-01,2024,9,Mumbai,Painter,255
2024-09-01,2024,9,Jaipur,Electrician,114
2024-09-01,2024,9,Jaipur,Plumber,209
2024-09-01,2024,9,Jaipur,Carpenter,151
2024-09-01,2024,9,Jaipur,Caregiver,119
2024-09-01,2024,9,Jaipur,Painter,152
2024-10-01,2024,10,Pune,Electrician,186
2024-10-01,2024,10,Pune,Plumber,126
2024-10-01,2024,10,Pune,Carpenter,153
2024-10-01,2024,10,Pune,Caregiver,154
2024-10-01,2024,10,Pune,Painter,185
2024-10-01,2024,10,Bengaluru,Electrician,240
2024-10-01,2024,10,Bengaluru,Plumber,147
2024-10-01,2024,10,Bengaluru,Carpenter,192
2024-10-01,2024,10,Bengaluru,Caregiver,182
2024-10-01,2024,10,Bengaluru,Painter,225
2024-10-01,2024,10,Delhi,Electrician,251
2024-10-01,2024,10,Delhi,Plumber,149
2024-10-01,2024,10,Delhi,Carpenter,231
2024-10-01,2024,10,Delhi,Caregiver,219
2024-10-01,2024,10,Delhi,Painter,236
2024-10-01,2024,10,Mumbai,Electrician,263
2024-10-01,2024,10,Mumbai,Plumber,173
2024-10-01,2024,10,Mumbai,Carpenter,239
2024-10-01,2024,10,Mumbai,Caregiver,206
2024-10-01,2024,10,Mumbai,Painter,244
2024-10-01,2024,10,Jaipur,Electrician,166
2024-10-01,2024,10,Jaipur,Plumber,108
2024-10-01,2024,10,Jaipur,Carpenter,141
2024-10-01,2024,10,Jaipur,Caregiver,132
2024-10-01,2024,10,Jaipur,Painter,146
2024-11-01,2024,11,Pune,Electrician,195
2024-11-01,2024,11,Pune,Plumber,121
2024-11-01,2024,11,Pune,Carpenter,173
2024-11-01,2024,11,Pune,Caregiver,152
2024-11-01,2024,11,Pune,Painter,182
2024-11-01,2024,11,Bengaluru,Electrician,229
2024-11-01,2024,11,Bengaluru,Plumber,140
2024-11-01,2024,11,Bengaluru,Carpenter,203
2024-11-01,2024,11,Bengaluru,Caregiver,197
2024-11-01,2024,11,Bengaluru,Painter,222
2024-11-01,2024,11,Delhi,Electrician,252
2024-11-01,2024,11,Delhi,Plumber,164
2024-11-01,2024,11,Delhi,Carpenter,204
2024-11-01,2024,11,Delhi,Caregiver,210
2024-11-01,2024,11,Delhi,Painter,244
2024-11-01,2024,11,Mumbai,Electrician,248
2024-11-01,2024,11,Mumbai,Plumber,159
2024-11-01,2024,11,Mumbai,Carpenter,216
2024-11-01,2024,11,Mumbai,Caregiver,217
2024-11-01,2024,11,Mumbai,Painter,264
2024-11-01,2024,11,Jaipur,Electrician,155
2024-11-01,2024,11,Jaipur,Plumber,95
2024-11-01,2024,11,Jaipur,Carpenter,141
2024-11-01,2024,11,Jaipur,Caregiver,122
2024-11-01,2024,11,Jaipur,Painter,152
2024-12-01,2024,12,Pune,Electrician,115
2024-12-01,2024,12,Pune,Plumber,130
2024-12-01,2024,12,Pune,Carpenter,104
2024-12-01,2024,12,Pune,Caregiver,195
2024-12-01,2024,12,Pune,Painter,86
2024-12-01,2024,12,Bengaluru,Electrician,132
2024-12-01,2024,12,Bengaluru,Plumber,150
2024-12-01,2024,12,Bengaluru,Carpenter,109
2024-12-01,2024,12,Bengaluru,Caregiver,223
2024-12-01,2024,12,Bengaluru,Painter,84
2024-12-01,2024,12,Delhi,Electrician,139
2024-12-01,2024,12,Delhi,Plumber,148
2024-12-01,2024,12,Delhi,Carpenter,127
2024-12-01,2024,12,Delhi,Caregiver,218
2024-12-01,2024,12,Delhi,Painter,103
2024-12-01,2024,12,Mumbai,Electrician,157
2024-12-01,2024,12,Mumbai,Plumber,173
2024-12-01,2024,12,Mumbai,Carpenter,140
2024-12-01,2024,12,Mumbai,Caregiver,269
2024-12-01,2024,12,Mumbai,Painter,114
2024-12-01,2024,12,Jaipur,Electrician,90
2024-12-01,2024,12,Jaipur,Plumber,91
2024-12-01,2024,12,Jaipur,Carpenter,87
2024-12-01,2024,12,Jaipur,Caregiver,157
2024-12-01,2024,12,Jaipur,Painter,66
2025-01-01,2025,1,Pune,Electrician,106
2025-01-01,2025,1,Pune,Plumber,100
2025-01-01,2025,1,Pune,Carpenter,107
2025-01-01,2025,1,Pune,Caregiver,203
2025-01-01,2025,1,Pune,Painter,86
2025-01-01,2025,1,Bengaluru,Electrician,146
2025-01-01,2025,1,Bengaluru,Plumber,123
2025-01-01,2025,1,Bengaluru,Carpenter,133
2025-01-01,2025,1,Bengaluru,Caregiver,223
2025-01-01,2025,1,Bengaluru,Painter,106
2025-01-01,2025,1,Delhi,Electrician,161
2025-01-01,2025,1,Delhi,Plumber,142
2025-01-01,2025,1,Delhi,Carpenter,130
2025-01-01,2025,1,Delhi,Caregiver,250
2025-01-01,2025,1,Delhi,Painter,116
2025-01-01,2025,1,Mumbai,Electrician,168
2025-01-01,2025,1,Mumbai,Plumber,152
2025-01-01,2025,1,Mumbai,Carpenter,148
2025-01-01,2025,1,Mumbai,Caregiver,290
2025-01-01,2025,1,Mumbai,Painter,119
2025-01-01,2025,1,Jaipur,Electrician,92
2025-01-01,2025,1,Jaipur,Plumber,83
2025-01-01,2025,1,Jaipur,Carpenter,93
2025-01-01,2025,1,Jaipur,Caregiver,165
2025-01-01,2025,1,Jaipur,Painter,72
2025-02-01,2025,2,Pune,Electrician,137
2025-02-01,2025,2,Pune,Plumber,98
2025-02-01,2025,2,Pune,Carpenter,96
2025-02-01,2025,2,Pune,Caregiver,175
2025-02-01,2025,2,Pune,Painter,76
2025-02-01,2025,2,Bengaluru,Electrician,176
2025-02-01,2025,2,Bengaluru,Plumber,134
2025-02-01,2025,2,Bengaluru,Carpenter,135
2025-02-01,2025,2,Bengaluru,Caregiver,213
2025-02-01,2025,2,Bengaluru,Painter,94
2025-02-01,2025,2,Delhi,Electrician,188
2025-02-01,2025,2,Delhi,Plumber,134
2025-02-01,2025,2,Delhi,Carpenter,135
2025-02-01,2025,2,Delhi,Caregiver,222
2025-02-01,2025,2,Delhi,Painter,100
2025-02-01,2025,2,Mumbai,Electrician,205
2025-02-01,2025,2,Mumbai,Plumber,143
2025-02-01,2025,2,Mumbai,Carpenter,139
2025-02-01,2025,2,Mumbai,Caregiver,232
2025-02-01,2025,2,Mumbai,Painter,117
2025-02-01,2025,2,Jaipur,Electrician,126
2025-02-01,2025,2,Jaipur,Plumber,80
2025-02-01,2025,2,Jaipur,Carpenter,88
2025-02-01,2025,2,Jaipur,Caregiver,125
2025-02-01,2025,2,Jaipur,Painter,67
2025-03-01,2025,3,Pune,Electrician,244
2025-03-01,2025,3,Pune,Plumber,124
2025-03-01,2025,3,Pune,Carpenter,104
2025-03-01,2025,3,Pune,Caregiver,157
2025-03-01,2025,3,Pune,Painter,85
2025-03-01,2025,3,Bengaluru,Electrician,320
2025-03-01,2025,3,Bengaluru,Plumber,152
2025-03-01,2025,3,Bengaluru,Carpenter,130
2025-03-01,2025,3,Bengaluru,Caregiver,217
2025-03-01,2025,3,Bengaluru,Painter,100
2025-03-01,2025,3,Delhi,Electrician,324
2025-03-01,2025,3,Delhi,Plumber,160
2025-03-01,2025,3,Delhi,Carpenter,133
2025-03-01,2025,3,Delhi,Caregiver,188
2025-03-01,2025,3,Delhi,Painter,104
2025-03-01,2025,3,Mumbai,Electrician,323
2025-03-01,2025,3,Mumbai,Plumber,185
2025-03-01,2025,3,Mumbai,Carpenter,150
2025-03-01,2025,3,Mumbai,Caregiver,219
2025-03-01,2025,3,Mumbai,Painter,118
2025-03-01,2025,3,Jaipur,Electrician,188
2025-03-01,2025,3,Jaipur,Plumber,106
2025-03-01,2025,3,Jaipur,Carpenter,83
2025-03-01,2025,3,Jaipur,Caregiver,119
2025-03-01,2025,3,Jaipur,Painter,65
2025-04-01,2025,4,Pune,Electrician,243
2025-04-01,2025,4,Pune,Plumber,142
2025-04-01,2025,4,Pune,Carpenter,112
2025-04-01,2025,4,Pune,Caregiver,164
2025-04-01,2025,4,Pune,Painter,86
2025-04-01,2025,4,Bengaluru,Electrician,334
2025-04-01,2025,4,Bengaluru,Plumber,162
2025-04-01,2025,4,Bengaluru,Carpenter,122
2025-04-01,2025,4,Bengaluru,Caregiver,195
2025-04-01,2025,4,Bengaluru,Painter,110
2025-04-01,2025,4,Delhi,Electrician,305
2025-04-01,2025,4,Delhi,Plumber,153
2025-04-01,2025,4,Delhi,Carpenter,139
2025-04-01,2025,4,Delhi,Caregiver,199
2025-04-01,2025,4,Delhi,Painter,104
2025-04-01,2025,4,Mumbai,Electrician,330
2025-04-01,2025,4,Mumbai,Plumber,172
2025-04-01,2025,4,Mumbai,Carpenter,148
2025-04-01,2025,4,Mumbai,Caregiver,219
2025-04-01,2025,4,Mumbai,Painter,120
2025-04-01,2025,4,Jaipur,Electrician,214
2025-04-01,2025,4,Jaipur,Plumber,102
2025-04-01,2025,4,Jaipur,Carpenter,89
2025-04-01,2025,4,Jaipur,Caregiver,134
2025-04-01,2025,4,Jaipur,Painter,69
2025-05-01,2025,5,Pune,Electrician,237
2025-05-01,2025,5,Pune,Plumber,134
2025-05-01,2025,5,Pune,Carpenter,104
2025-05-01,2025,5,Pune,Caregiver,169
2025-05-01,2025,5,Pune,Painter,87
2025-05-01,2025,5,Bengaluru,Electrician,259
2025-05-01,2025,5,Bengaluru,Plumber,159
2025-05-01,2025,5,Bengaluru,Carpenter,123
2025-05-01,2025,5,Bengaluru,Caregiver,186
2025-05-01,2025,5,Bengaluru,Painter,104
2025-05-01,2025,5,Delhi,Electrician,312
2025-05-01,2025,5,Delhi,Plumber,165
2025-05-01,2025,5,Delhi,Carpenter,129
2025-05-01,2025,5,Delhi,Caregiver,199
2025-05-01,2025,5,Delhi,Painter,105
2025-05-01,2025,5,Mumbai,Electrician,374
2025-05-01,2025,5,Mumbai,Plumber,185
2025-05-01,2025,5,Mumbai,Carpenter,158
2025-05-01,2025,5,Mumbai,Caregiver,209
2025-05-01,2025,5,Mumbai,Painter,112
2025-05-01,2025,5,Jaipur,Electrician,220
2025-05-01,2025,5,Jaipur,Plumber,102
2025-05-01,2025,5,Jaipur,Carpenter,86
2025-05-01,2025,5,Jaipur,Caregiver,134
2025-05-01,2025,5,Jaipur,Painter,68
2025-06-01,2025,6,Pune,Electrician,267
2025-06-01,2025,6,Pune,Plumber,257
2025-06-01,2025,6,Pune,Carpenter,106
2025-06-01,2025,6,Pune,Caregiver,206
2025-06-01,2025,6,Pune,Painter,47
2025-06-01,2025,6,Bengaluru,Electrician,300
2025-06-01,2025,6,Bengaluru,Plumber,355
2025-06-01,2025,6,Bengaluru,Carpenter,116
2025-06-01,2025,6,Bengaluru,Caregiver,228
2025-06-01,2025,6,Bengaluru,Painter,54
2025-06-01,2025,6,Delhi,Electrician,310
2025-06-01,2025,6,Delhi,Plumber,327
2025-06-01,2025,6,Delhi,Carpenter,141
2025-06-01,2025,6,Delhi,Caregiver,255
2025-06-01,2025,6,Delhi,Painter,56
2025-06-01,2025,6,Mumbai,Electrician,341
2025-06-01,2025,6,Mumbai,Plumber,376
2025-06-01,2025,6,Mumbai,Carpenter,150
2025-06-01,2025,6,Mumbai,Caregiver,271
2025-06-01,2025,6,Mumbai,Painter,62
2025-06-01,2025,6,Jaipur,Electrician,214
2025-06-01,2025,6,Jaipur,Plumber,197
2025-06-01,2025,6,Jaipur,Carpenter,83
2025-06-01,2025,6,Jaipur,Caregiver,163
2025-06-01,2025,6,Jaipur,Painter,34
2025-07-01,2025,7,Pune,Electrician,153
2025-07-01,2025,7,Pune,Plumber,270
2025-07-01,2025,7,Pune,Carpenter,114
2025-07-01,2025,7,Pune,Caregiver,192
2025-07-01,2025,7,Pune,Painter,44
2025-07-01,2025,7,Bengaluru,Electrician,172
2025-07-01,2025,7,Bengaluru,Plumber,358
2025-07-01,2025,7,Bengaluru,Carpenter,136
2025-07-01,2025,7,Bengaluru,Caregiver,231
2025-07-01,2025,7,Bengaluru,Painter,48
2025-07-01,2025,7,Delhi,Electrician,172
2025-07-01,2025,7,Delhi,Plumber,366
2025-07-01,2025,7,Delhi,Carpenter,136
2025-07-01,2025,7,Delhi,Caregiver,287
2025-07-01,2025,7,Delhi,Painter,54
2025-07-01,2025,7,Mumbai,Electrician,213
2025-07-01,2025,7,Mumbai,Plumber,386
2025-07-01,2025,7,Mumbai,Carpenter,151
2025-07-01,2025,7,Mumbai,Caregiver,295
2025-07-01,2025,7,Mumbai,Painter,63
2025-07-01,2025,7,Jaipur,Electrician,130
2025-07-01,2025,7,Jaipur,Plumber,223
2025-07-01,2025,7,Jaipur,Carpenter,86
2025-07-01,2025,7,Jaipur,Caregiver,163
2025-07-01,2025,7,Jaipur,Painter,34
2025-08-01,2025,8,Pune,Electrician,158
2025-08-01,2025,8,Pune,Plumber,266
2025-08-01,2025,8,Pune,Carpenter,174
2025-08-01,2025,8,Pune,Caregiver,179
2025-08-01,2025,8,Pune,Painter,38
2025-08-01,2025,8,Bengaluru,Electrician,178
2025-08-01,2025,8,Bengaluru,Plumber,330
2025-08-01,2025,8,Bengaluru,Carpenter,202
2025-08-01,2025,8,Bengaluru,Caregiver,198
2025-08-01,2025,8,Bengaluru,Painter,51
2025-08-01,2025,8,Delhi,Electrician,186
2025-08-01,2025,8,Delhi,Plumber,356
2025-08-01,2025,8,Delhi,Carpenter,219
2025-08-01,2025,8,Delhi,Caregiver,201
2025-08-01,2025,8,Delhi,Painter,55
2025-08-01,2025,8,Mumbai,Electrician,198
2025-08-01,2025,8,Mumbai,Plumber,392
2025-08-01,2025,8,Mumbai,Carpenter,236
2025-08-01,2025,8,Mumbai,Caregiver,237
2025-08-01,2025,8,Mumbai,Painter,59
2025-08-01,2025,8,Jaipur,Electrician,119
2025-08-01,2025,8,Jaipur,Plumber,237
2025-08-01,2025,8,Jaipur,Carpenter,129
2025-08-01,2025,8,Jaipur,Caregiver,147
2025-08-01,2025,8,Jaipur,Painter,30
2025-09-01,2025,9,Pune,Electrician,134
2025-09-01,2025,9,Pune,Plumber,256
2025-09-01,2025,9,Pune,Carpenter,174
2025-09-01,2025,9,Pune,Caregiver,172
2025-09-01,2025,9,Pune,Painter,205
2025-09-01,2025,9,Bengaluru,Electrician,168
2025-09-01,2025,9,Bengaluru,Plumber,338
2025-09-01,2025,9,Bengaluru,Carpenter,217
2025-09-01,2025,9,Bengaluru,Caregiver,203
2025-09-01,2025,9,Bengaluru,Painter,216
2025-09-01,2025,9,Delhi,Electrician,190
2025-09-01,2025,9,Delhi,Plumber,327
2025-09-01,2025,9,Delhi,Carpenter,223
2025-09-01,2025,9,Delhi,Caregiver,204
2025-09-01,2025,9,Delhi,Painter,260
2025-09-01,2025,9,Mumbai,Electrician,209
2025-09-01,2025,9,Mumbai,Plumber,349
2025-09-01,2025,9,Mumbai,Carpenter,247
2025-09-01,2025,9,Mumbai,Caregiver,242
2025-09-01,2025,9,Mumbai,Painter,256
2025-09-01,2025,9,Jaipur,Electrician,113
2025-09-01,2025,9,Jaipur,Plumber,206
2025-09-01,2025,9,Jaipur,Carpenter,149
2025-09-01,2025,9,Jaipur,Caregiver,124
2025-09-01,2025,9,Jaipur,Painter,147
2025-10-01,2025,10,Pune,Electrician,214
2025-10-01,2025,10,Pune,Plumber,127
2025-10-01,2025,10,Pune,Carpenter,188
2025-10-01,2025,10,Pune,Caregiver,168
2025-10-01,2025,10,Pune,Painter,200
2025-10-01,2025,10,Bengaluru,Electrician,253
2025-10-01,2025,10,Bengaluru,Plumber,144
2025-10-01,2025,10,Bengaluru,Carpenter,210
2025-10-01,2025,10,Bengaluru,Caregiver,203
2025-10-01,2025,10,Bengaluru,Painter,235
2025-10-01,2025,10,Delhi,Electrician,267
2025-10-01,2025,10,Delhi,Plumber,166
2025-10-01,2025,10,Delhi,Carpenter,209
2025-10-01,2025,10,Delhi,Caregiver,223
2025-10-01,2025,10,Delhi,Painter,250
2025-10-01,2025,10,Mumbai,Electrician,288
2025-10-01,2025,10,Mumbai,Plumber,189
2025-10-01,2025,10,Mumbai,Carpenter,235
2025-10-01,2025,10,Mumbai,Caregiver,245
2025-10-01,2025,10,Mumbai,Painter,278
2025-10-01,2025,10,Jaipur,Electrician,147
2025-10-01,2025,10,Jaipur,Plumber,108
2025-10-01,2025,10,Jaipur,Carpenter,132
2025-10-01,2025,10,Jaipur,Caregiver,131
2025-10-01,2025,10,Jaipur,Painter,146
2025-11-01,2025,11,Pune,Electrician,201
2025-11-01,2025,11,Pune,Plumber,138
2025-11-01,2025,11,Pune,Carpenter,197
2025-11-01,2025,11,Pune,Caregiver,171
2025-11-01,2025,11,Pune,Painter,210
2025-11-01,2025,11,Bengaluru,Electrician,231
2025-11-01,2025,11,Bengaluru,Plumber,177
2025-11-01,2025,11,Bengaluru,Carpenter,210
2025-11-01,2025,11,Bengaluru,Caregiver,206
2025-11-01,2025,11,Bengaluru,Painter,266
2025-11-01,2025,11,Delhi,Electrician,278
2025-11-01,2025,11,Delhi,Plumber,160
2025-11-01,2025,11,Delhi,Carpenter,218
